action_date,count(contact_id),count(distinct contact_id),count(distinct campaign_id),count(distinct message_id)
23-Mar-08,6459,6432,1,15
25-May-08,6601,6566,1,15
7-Aug-08,7669,7617,1,29
3-Dec-08,5623,5599,1,12
15-Jan-09,7218,7176,1,18
28-Feb-09,7684,7649,1,15
14-May-09,7722,7684,1,20
28-Jul-09,7640,7602,2,30
23-Sep-09,9230,9179,1,18
28-Oct-09,7956,7924,1,16
23-Dec-09,8518,8473,1,18
2-Mar-10,9063,9019,1,18
17-Apr-10,1121,1121,1,11
28-Apr-10,879,879,1,4
13-May-10,7650,7620,1,16
22-Jul-10,9074,9042,1,18
30-Sep-10,7883,7855,2,26
10-Nov-10,7083,7057,1,15
28-Dec-10,8021,7992,1,17
2-Mar-11,1000,999,1,4
26-Mar-11,8782,8729,1,20
7-May-11,1009,1008,2,18
17-May-11,1697,1697,1,3
28-May-11,48,48,1,4
8-Jun-11,8344,8297,1,48
29-Jul-11,8991,8946,1,28
21-Sep-11,54,54,1,4
22-Sep-11,8242,8206,1,22
17-Nov-11,55,55,1,4
18-Nov-11,8171,8142,1,15
21-Dec-11,9168,9122,1,18
16-Feb-12,1586,1586,1,5
15-Mar-12,9398,9341,1,17
20-Apr-12,1743,1743,1,4
27-Apr-12,996,993,2,16
16-May-12,9360,9311,1,18
18-Jul-12,9596,9548,1,18
16-Sep-12,45,45,1,4
19-Sep-12,8760,8721,1,45
8-Nov-12,8704,8672,3,45
19-Dec-12,9346,9306,1,15
12-Mar-13,9756,9709,1,17
11-Apr-13,1618,1617,3,20
18-Apr-13,2336,2336,1,5
15-May-13,9389,9348,1,17
24-Jul-13,10424,10377,1,19
19-Sep-13,44,44,1,4
24-Sep-13,9351,9314,1,16
8-Oct-13,1365,1364,3,20
11-Oct-13,1520,1518,1,5
29-Oct-13,1177,1177,1,4
7-Nov-13,48,48,1,4
12-Nov-13,8978,8945,1,15
20-Dec-13,10467,10420,1,68
18-Feb-14,1522,1521,1,6
15-Mar-14,9817,9777,1,51
17-Apr-14,2266,2266,1,2
22-Apr-14,2404,2401,3,30
6-May-14,10412,10369,1,65
22-Jul-14,9763,9724,1,50
2-Oct-14,11192,11137,1,67
15-Oct-14,1575,1571,1,6
17-Oct-14,3243,3235,3,32
13-Nov-14,9785,9739,1,66
20-Nov-14,1469,1469,1,1
18-Dec-14,10841,10786,1,27
19-Mar-15,10224,10155,1,18
8-Apr-15,2103,2102,1,2
17-Apr-15,2126,2123,3,34
30-Apr-15,1652,1646,1,6
23-May-15,11082,11007,1,25
15-Jul-15,9965,9902,1,19
22-Sep-15,11855,11775,1,26
6-Oct-15,1683,1681,1,4
7-Oct-15,4387,4369,3,34
17-Nov-15,11117,11041,1,27
22-Dec-15,10015,9950,1,23
12-Jan-16,1744,1744,1,5
16-Feb-16,2024,2018,1,5
16-Mar-16,10675,10604,1,17
10-Apr-16,2500,2496,3,31
15-Apr-16,2810,2810,1,3
19-May-16,11501,11443,1,29
21-Jul-16,10689,10643,1,19
27-Jul-16,558,558,1,1
23-Sep-16,12242,12178,1,25
12-Oct-16,6044,6020,4,40
9-Nov-16,9651,9628,1,24
16-Dec-16,11854,11817,1,23
15-Feb-17,2193,2191,1,5
16-Feb-17,13500,13484,1,3
7-Mar-17,10725,10697,1,16
21-Apr-17,2115,2114,3,26
25-Apr-17,3124,3124,1,3
13-May-17,11771,11744,1,26
25-Jul-17,11276,11255,1,19
26-Sep-17,12712,12689,1,27
10-Oct-17,1679,1678,1,5
11-Oct-17,1689,1689,2,18
13-Oct-17,2638,2638,1,15
10-Nov-17,11938,11925,1,31
20-Dec-17,12265,12251,1,22
15-Feb-18,2564,2562,1,5
16-Mar-18,11186,11181,1,34
12-Apr-18,3337,3337,1,3
25-Apr-18,2673,2673,3,33
15-May-18,12340,12339,1,25